,reward,mailer_type,income_level,n_bank_accounts_open,overdraft_protection,credit_rating,n_credit_cards_held,n_homes_owned,household_size,own_your_home,average_balance,q1_balance,q2_balance,q3_balance,q4_balance,offer_accepted
8013,Air Miles,Letter,Low,1,No,High,2,1,5,Yes,794.0,770.0,810.0,905.0,691.0,Yes
1727,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,1003.0,639.0,426.0,1478.0,1469.0,Yes
7771,Points,Postcard,Low,1,Yes,Medium,2,2,3,Yes,1108.25,733.0,1065.0,1289.0,1346.0,No
4193,Cash Back,Postcard,Low,1,No,Low,3,1,2,No,1015.5,1778.0,1446.0,637.0,201.0,No
7003,Air Miles,Letter,Medium,1,Yes,Medium,2,1,3,No,615.5,606.0,552.0,803.0,501.0,No
15847,Air Miles,Postcard,Medium,2,No,High,1,1,3,Yes,1249.25,345.0,1816.0,2144.0,692.0,No
10986,Points,Letter,High,1,No,High,1,1,4,Yes,1321.5,854.0,1059.0,2092.0,1281.0,No
17936,Cash Back,Postcard,Medium,2,No,Medium,2,1,5,Yes,1259.25,859.0,1036.0,1930.0,1212.0,No
336,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1221.0,948.0,864.0,1063.0,2009.0,No
2447,Air Miles,Postcard,High,1,No,Medium,3,1,2,Yes,1355.75,598.0,1170.0,2242.0,1413.0,No
7302,Air Miles,Postcard,Medium,2,No,Low,2,1,1,Yes,854.75,831.0,942.0,682.0,964.0,No
3870,Points,Postcard,High,1,No,Low,2,1,4,Yes,703.25,671.0,772.0,769.0,601.0,No
15302,Air Miles,Postcard,High,1,Yes,High,2,1,3,No,705.25,550.0,958.0,620.0,693.0,No
12483,Points,Letter,Medium,1,No,Low,3,1,5,Yes,303.75,400.0,358.0,197.0,260.0,No
14365,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,117.75,47.0,311.0,25.0,88.0,No
5127,Cash Back,Letter,High,1,No,High,1,1,3,No,169.5,93.0,21.0,106.0,458.0,No
14000,Cash Back,Letter,Medium,1,Yes,Low,1,1,5,No,1269.75,1438.0,1103.0,1463.0,1075.0,No
14451,Air Miles,Letter,Medium,1,No,Medium,3,1,3,Yes,332.25,112.0,352.0,450.0,415.0,No
15719,Air Miles,Letter,Medium,1,Yes,Medium,3,1,4,Yes,1344.5,902.0,1210.0,1403.0,1863.0,No
4675,Air Miles,Postcard,Medium,2,No,High,1,1,5,Yes,956.0,681.0,786.0,1168.0,1189.0,No
9253,Cash Back,Letter,Low,2,No,High,3,1,4,Yes,939.0,1825.0,1129.0,739.0,63.0,No
624,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,928.5,1139.0,439.0,1013.0,1123.0,No
14747,Cash Back,Letter,Medium,1,No,Medium,1,2,3,No,1155.0,1.0,1630.0,1593.0,1396.0,No
10412,Points,Letter,Medium,1,Yes,Low,2,1,3,Yes,972.0,509.0,692.0,1301.0,1386.0,No
9795,Cash Back,Letter,High,1,No,Low,1,1,2,Yes,1114.25,416.0,1047.0,1249.0,1745.0,No
8887,Cash Back,Letter,Medium,1,No,Medium,2,1,2,Yes,2738.5,2453.0,3240.0,3016.0,2245.0,No
5869,Cash Back,Letter,Medium,1,No,High,1,1,5,Yes,1229.5,634.0,1637.0,2097.0,550.0,No
17027,Air Miles,Postcard,Medium,1,No,Medium,2,1,2,No,1201.75,917.0,1132.0,1584.0,1174.0,No
7999,Air Miles,Postcard,Medium,1,No,Low,1,1,2,No,1096.0,28.0,1380.0,2094.0,882.0,No
10863,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,1155.5,834.0,935.0,1771.0,1082.0,No
6143,Air Miles,Letter,Medium,2,No,High,2,2,4,No,1136.25,2006.0,1714.0,542.0,283.0,No
12086,Points,Letter,Medium,2,No,High,1,1,5,Yes,1276.75,803.0,1702.0,1939.0,663.0,No
8739,Air Miles,Letter,High,1,No,Medium,2,1,3,Yes,1036.5,228.0,1108.0,1328.0,1482.0,No
8100,Points,Letter,Medium,1,No,High,3,1,4,No,1332.75,930.0,1673.0,1716.0,1012.0,No
1500,Cash Back,Letter,High,2,No,Low,4,1,4,Yes,957.75,1750.0,1313.0,565.0,203.0,No
9140,Points,Letter,High,1,No,Medium,2,1,3,No,1037.25,1022.0,1039.0,846.0,1242.0,No
6831,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,1201.75,553.0,1666.0,2157.0,431.0,No
9907,Points,Postcard,Low,2,No,Low,2,1,1,Yes,1095.5,1916.0,1444.0,778.0,244.0,No
10925,Cash Back,Letter,Medium,1,No,Low,3,1,5,No,629.75,547.0,836.0,624.0,512.0,No
5589,Points,Letter,Low,1,No,Medium,1,1,5,Yes,805.25,971.0,663.0,970.0,617.0,No
5347,Air Miles,Postcard,High,2,Yes,High,2,3,5,Yes,960.5,479.0,1115.0,1028.0,1220.0,No
16678,Air Miles,Letter,High,1,Yes,Low,1,1,3,Yes,791.0,843.0,769.0,611.0,941.0,No
10725,Cash Back,Postcard,High,3,No,Low,2,1,4,Yes,977.75,83.0,1837.0,1376.0,615.0,No
8150,Points,Letter,High,2,No,Medium,2,1,3,Yes,921.5,1807.0,1163.0,694.0,22.0,No
14622,Air Miles,Letter,Medium,1,Yes,Low,4,1,3,Yes,1284.5,398.0,1732.0,2155.0,853.0,No
15887,Points,Letter,Low,2,No,Low,2,2,2,Yes,1104.75,344.0,1085.0,2023.0,967.0,No
10873,Points,Postcard,High,2,No,Low,1,2,2,Yes,396.25,360.0,434.0,468.0,323.0,Yes
4142,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,No,886.0,804.0,914.0,972.0,854.0,No
15089,Points,Postcard,Medium,1,No,High,2,1,4,Yes,921.75,1490.0,889.0,1131.0,177.0,No
5915,Air Miles,Postcard,High,1,No,Low,3,2,2,No,1197.75,537.0,1746.0,1586.0,922.0,Yes
3830,Points,Letter,Medium,1,No,Low,2,1,5,No,830.75,885.0,917.0,727.0,794.0,No
1739,Air Miles,Letter,Medium,1,Yes,Medium,3,2,4,Yes,945.0,118.0,776.0,1310.0,1576.0,No
9095,Points,Postcard,Medium,1,No,Medium,2,1,2,Yes,726.25,859.0,861.0,670.0,515.0,No
11732,Points,Postcard,High,1,No,Low,1,2,5,Yes,649.75,736.0,535.0,602.0,726.0,No
13492,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,1172.5,380.0,1315.0,1467.0,1528.0,No
4713,Points,Letter,High,1,No,Low,1,2,3,Yes,1319.25,981.0,1045.0,1799.0,1452.0,No
378,Points,Postcard,Medium,1,No,High,2,1,3,No,1028.75,342.0,1233.0,806.0,1734.0,Yes
2361,Air Miles,Postcard,High,2,No,Low,3,1,5,No,1168.75,933.0,432.0,1545.0,1765.0,No
712,Points,Postcard,Medium,1,No,Low,2,1,3,No,719.5,975.0,504.0,895.0,504.0,No
5973,Points,Postcard,Low,1,No,High,3,1,3,No,748.25,995.0,649.0,719.0,630.0,No
14388,Cash Back,Postcard,Medium,1,Yes,High,1,1,4,No,287.5,294.0,416.0,420.0,20.0,No
4452,Points,Postcard,Medium,1,No,High,2,2,5,No,1254.5,1100.0,1056.0,1408.0,1454.0,No
4553,Cash Back,Postcard,Medium,1,No,Medium,1,2,4,No,1054.75,1969.0,1123.0,860.0,267.0,No
4005,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1272.5,425.0,1244.0,2232.0,1189.0,No
3273,Air Miles,Letter,Medium,2,No,Medium,2,1,4,Yes,955.0,226.0,1168.0,1336.0,1090.0,No
4270,Cash Back,Letter,Medium,2,No,Low,2,1,3,Yes,997.25,1640.0,1435.0,691.0,223.0,No
7472,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,1238.5,980.0,1189.0,2176.0,609.0,No
10328,Air Miles,Letter,Medium,1,No,Low,3,1,2,Yes,1463.5,1340.0,1002.0,2198.0,1314.0,No
5630,Cash Back,Letter,High,1,No,Medium,4,2,5,Yes,1386.75,914.0,1809.0,1184.0,1640.0,No
8578,Points,Letter,High,1,No,Medium,1,1,3,Yes,932.5,503.0,924.0,959.0,1344.0,No
6889,Cash Back,Letter,Low,1,No,Low,2,1,3,Yes,1025.25,248.0,1202.0,1090.0,1561.0,No
4237,Points,Letter,Low,1,No,Medium,1,1,3,No,618.0,865.0,510.0,594.0,503.0,No
9953,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1114.0,1933.0,1045.0,1217.0,261.0,No
11110,Cash Back,Postcard,High,1,No,Medium,2,1,5,Yes,1043.75,983.0,1283.0,1332.0,577.0,No
9540,Points,Postcard,High,1,No,Low,2,1,5,Yes,204.5,213.0,185.0,41.0,379.0,No
8875,Cash Back,Letter,Low,1,No,Medium,3,1,3,No,1072.75,1208.0,1208.0,1406.0,469.0,No
8225,Air Miles,Postcard,Low,1,No,High,2,1,2,No,326.5,413.0,84.0,343.0,466.0,No
748,Points,Postcard,High,2,No,High,2,1,2,Yes,1059.75,258.0,1211.0,2040.0,730.0,No
7608,Cash Back,Postcard,Low,1,Yes,High,2,2,5,Yes,193.5,181.0,294.0,293.0,6.0,No
10804,Air Miles,Letter,Low,2,No,Low,3,1,2,Yes,1036.75,958.0,926.0,1454.0,809.0,No
9534,Air Miles,Letter,Medium,1,No,Low,2,1,5,Yes,1078.5,1383.0,1323.0,1240.0,368.0,No
13868,Cash Back,Letter,Low,1,No,High,1,2,3,No,837.25,467.0,735.0,1152.0,995.0,No
1669,Air Miles,Letter,Low,2,No,Medium,1,1,5,Yes,853.25,1504.0,940.0,458.0,511.0,No
15894,Points,Postcard,Medium,1,No,Low,3,1,4,No,1008.5,1902.0,1026.0,915.0,191.0,Yes
9189,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,1028.25,372.0,1468.0,1226.0,1047.0,No
10572,Points,Letter,Medium,1,No,Low,3,1,2,No,1185.75,386.0,1515.0,1710.0,1132.0,No
5377,Cash Back,Letter,Medium,1,Yes,Medium,2,1,3,No,987.25,1574.0,1299.0,603.0,473.0,No
14595,Points,Postcard,Medium,1,No,Medium,1,1,3,Yes,308.0,224.0,407.0,104.0,497.0,No
8090,Cash Back,Letter,High,1,No,Low,2,1,2,Yes,1264.5,669.0,955.0,1778.0,1656.0,No
9161,Cash Back,Postcard,Low,1,No,Low,1,1,3,No,1086.25,1739.0,1495.0,944.0,167.0,No
6429,Cash Back,Postcard,High,1,No,Medium,2,1,4,No,926.0,1372.0,865.0,1343.0,124.0,No
4569,Points,Letter,Medium,1,No,Low,2,1,4,No,1033.25,1456.0,1073.0,841.0,763.0,No
1341,Air Miles,Letter,Low,2,No,High,3,1,3,No,1112.5,2108.0,1406.0,726.0,210.0,No
11464,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,No,961.5,1789.0,1117.0,883.0,57.0,No
15352,Points,Letter,High,1,No,High,2,1,4,No,201.25,328.0,307.0,144.0,26.0,No
14919,Air Miles,Postcard,High,1,No,Low,4,1,5,Yes,1200.75,98.0,755.0,2106.0,1844.0,No
7480,Points,Postcard,Low,1,No,High,1,2,3,No,195.25,58.0,190.0,158.0,375.0,No
17712,Cash Back,Letter,Low,1,No,Low,2,1,4,No,931.0,32.0,888.0,2014.0,790.0,No
6314,Points,Postcard,Medium,3,No,Medium,2,1,4,No,1054.0,482.0,1423.0,1500.0,811.0,No
247,Air Miles,Postcard,Low,1,No,High,2,1,2,No,883.75,1583.0,1012.0,747.0,193.0,No
4030,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,1147.5,637.0,1187.0,1040.0,1726.0,No
2689,Air Miles,Letter,Medium,1,Yes,Low,3,1,3,No,273.5,435.0,211.0,13.0,435.0,No
11603,Air Miles,Postcard,Medium,2,Yes,Low,2,1,4,No,1097.75,1769.0,1412.0,799.0,411.0,No
5497,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,670.25,645.0,934.0,531.0,571.0,No
8952,Air Miles,Postcard,Medium,1,No,High,2,1,2,No,1127.25,1995.0,1308.0,761.0,445.0,No
855,Air Miles,Postcard,Low,2,Yes,Low,3,1,2,Yes,1041.0,1762.0,1253.0,1009.0,140.0,No
2562,Cash Back,Letter,Medium,1,No,Medium,1,1,5,Yes,1235.0,747.0,1197.0,1130.0,1866.0,No
1508,Points,Letter,Medium,1,No,Medium,1,1,5,Yes,1003.5,1908.0,1082.0,905.0,119.0,No
6021,Points,Letter,Low,1,No,Low,2,1,2,No,1411.5,850.0,1446.0,2051.0,1299.0,No
12850,Air Miles,Postcard,Low,1,No,Medium,3,1,4,No,247.5,250.0,229.0,318.0,193.0,No
858,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1111.25,1182.0,1745.0,1036.0,482.0,No
10659,Air Miles,Letter,High,1,Yes,Medium,2,1,4,No,270.25,106.0,375.0,362.0,238.0,No
14859,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,1085.25,52.0,849.0,1717.0,1723.0,No
5211,Points,Letter,Low,1,No,High,1,1,4,No,1018.0,518.0,1614.0,1280.0,660.0,No
8851,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,1051.0,579.0,832.0,1327.0,1466.0,Yes
13157,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,636.25,503.0,543.0,779.0,720.0,No
10025,Air Miles,Letter,Medium,1,No,Low,2,1,5,Yes,1088.25,1596.0,1380.0,985.0,392.0,No
8236,Cash Back,Postcard,Low,1,No,Medium,1,1,2,Yes,1351.25,826.0,1234.0,1693.0,1652.0,No
2038,Air Miles,Postcard,High,1,No,Medium,1,1,3,Yes,1133.0,842.0,756.0,1034.0,1900.0,No
13780,Points,Letter,Low,1,No,High,3,1,3,Yes,996.25,1783.0,1386.0,699.0,117.0,No
7160,Cash Back,Postcard,Medium,1,Yes,Low,1,1,2,Yes,1319.25,691.0,1241.0,2102.0,1243.0,No
13552,Cash Back,Letter,High,1,No,Low,3,1,4,Yes,965.0,1604.0,1210.0,870.0,176.0,No
10947,Cash Back,Letter,High,2,No,High,1,1,2,No,1175.75,1591.0,1225.0,1211.0,676.0,No
16514,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,1228.75,80.0,1480.0,1670.0,1685.0,No
8946,Air Miles,Letter,Medium,1,No,High,2,1,5,Yes,1195.0,1424.0,1759.0,758.0,839.0,No
4,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211.0,2140.0,1357.0,982.0,365.0,No
17156,Cash Back,Postcard,High,1,Yes,High,2,1,3,Yes,1249.25,789.0,564.0,1539.0,2105.0,No
2461,Points,Postcard,Medium,1,No,Medium,4,1,4,No,1345.25,923.0,829.0,2113.0,1516.0,No
7076,Cash Back,Postcard,Low,1,No,High,1,1,5,Yes,962.75,1543.0,1337.0,531.0,440.0,Yes
1668,Air Miles,Postcard,High,2,No,High,1,1,3,No,999.0,76.0,1127.0,1436.0,1357.0,No
10263,Points,Postcard,Medium,1,Yes,Medium,1,1,3,Yes,1258.5,1722.0,1783.0,1178.0,351.0,No
10409,Air Miles,Letter,Medium,2,No,Medium,2,1,3,No,949.25,1878.0,1134.0,608.0,177.0,No
8831,Points,Postcard,High,1,No,Low,2,1,2,Yes,1332.0,874.0,1176.0,1111.0,2167.0,No
7567,Cash Back,Postcard,Medium,1,No,High,2,2,3,Yes,1140.75,1471.0,1106.0,1256.0,730.0,No
15324,Air Miles,Postcard,Medium,2,No,Low,1,1,4,Yes,1025.25,1710.0,1295.0,656.0,440.0,No
16001,Air Miles,Letter,Low,2,No,Low,2,2,6,Yes,1061.75,1645.0,1233.0,988.0,381.0,No
4642,Cash Back,Postcard,Medium,1,No,Low,1,1,3,No,1096.25,1146.0,931.0,1367.0,941.0,No
8844,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1017.0,129.0,1201.0,1764.0,974.0,No
8054,Cash Back,Postcard,Medium,1,No,Medium,1,1,3,No,888.0,1312.0,1393.0,716.0,131.0,No
16304,Cash Back,Letter,Low,1,No,Medium,1,1,4,Yes,870.25,1410.0,1458.0,447.0,166.0,No
7721,Points,Letter,Medium,1,No,High,1,1,3,Yes,238.5,159.0,373.0,401.0,21.0,No
6047,Cash Back,Letter,High,1,No,High,1,1,5,Yes,87.25,28.0,5.0,160.0,156.0,No
9252,Air Miles,Letter,High,1,No,Low,2,1,4,Yes,824.5,659.0,773.0,993.0,873.0,No
6918,Cash Back,Postcard,Medium,1,Yes,Low,2,1,1,Yes,988.0,968.0,998.0,989.0,997.0,Yes
9175,Points,Letter,Medium,2,No,High,2,1,2,Yes,946.0,1846.0,1222.0,614.0,102.0,No
10468,Cash Back,Letter,Medium,2,No,Low,2,1,4,No,703.5,689.0,984.0,582.0,559.0,No
2663,Cash Back,Postcard,Medium,1,Yes,High,1,1,4,Yes,227.0,82.0,235.0,415.0,176.0,No
1681,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,948.75,1530.0,1361.0,500.0,404.0,No
2145,Cash Back,Letter,Medium,1,No,High,3,1,4,Yes,1236.25,884.0,954.0,1344.0,1763.0,No
10342,Points,Postcard,Low,1,Yes,Low,2,1,4,No,729.75,560.0,896.0,527.0,936.0,Yes
4621,Cash Back,Postcard,Medium,2,No,High,3,1,2,Yes,1548.25,1465.0,1778.0,1664.0,1286.0,No
17968,Points,Postcard,Low,2,No,High,3,1,3,Yes,1116.25,443.0,1218.0,1230.0,1574.0,No
13075,Points,Letter,Medium,1,No,Medium,1,1,5,Yes,359.75,387.0,326.0,249.0,477.0,Yes
11039,Air Miles,Postcard,Medium,2,No,Medium,2,1,4,No,978.25,103.0,996.0,1129.0,1685.0,No
10030,Points,Postcard,Medium,1,No,High,2,1,2,Yes,252.5,249.0,368.0,241.0,152.0,No
6611,Air Miles,Letter,Low,1,No,Medium,2,1,2,Yes,1073.0,560.0,1239.0,1055.0,1438.0,No
160,Cash Back,Letter,High,2,No,Medium,1,1,2,Yes,1199.0,330.0,970.0,1488.0,2008.0,No
15889,Air Miles,Postcard,Medium,1,No,Low,1,1,4,No,742.5,957.0,569.0,920.0,524.0,No
12896,Points,Postcard,Low,1,Yes,High,3,2,1,No,1029.25,1871.0,1113.0,614.0,519.0,No
6806,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,175.25,124.0,229.0,200.0,148.0,No
14980,Air Miles,Postcard,High,2,No,Medium,2,2,2,No,379.5,418.0,265.0,338.0,497.0,No
1788,Air Miles,Letter,Medium,1,No,High,2,1,4,Yes,1602.75,670.0,1747.0,2263.0,1731.0,No
4639,Air Miles,Postcard,Low,1,No,Low,2,1,6,Yes,718.5,561.0,664.0,657.0,992.0,No
1460,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,282.25,182.0,286.0,209.0,452.0,No
8593,Cash Back,Postcard,Medium,1,No,High,3,1,3,Yes,1442.75,940.0,1152.0,1895.0,1784.0,No
15839,Points,Letter,High,1,No,Low,3,2,2,Yes,1153.25,148.0,1731.0,1910.0,824.0,No
17291,Air Miles,Postcard,High,1,No,Low,3,1,4,Yes,1164.5,72.0,1574.0,2038.0,974.0,No
11101,Cash Back,Letter,Medium,1,No,Medium,3,2,5,Yes,1083.5,1668.0,1183.0,1268.0,215.0,No
6199,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1229.75,282.0,1350.0,1646.0,1641.0,No
14201,Air Miles,Letter,Medium,1,No,Low,1,1,3,No,1153.75,1657.0,1220.0,1150.0,588.0,No
7331,Air Miles,Letter,High,2,No,Medium,4,2,4,Yes,1157.5,1879.0,1166.0,728.0,857.0,No
15437,Cash Back,Letter,High,1,No,Low,3,1,4,Yes,241.0,216.0,434.0,13.0,301.0,No
6014,Air Miles,Letter,High,1,No,High,4,1,2,Yes,195.25,161.0,156.0,58.0,406.0,No
6420,Points,Postcard,Medium,2,No,Medium,1,1,5,Yes,86.0,47.0,33.0,69.0,195.0,No
6260,Air Miles,Letter,High,2,No,Medium,2,2,3,Yes,227.0,16.0,442.0,396.0,54.0,No
5899,Cash Back,Letter,High,1,No,High,2,1,5,Yes,1131.25,382.0,1076.0,1384.0,1683.0,No
14363,Points,Letter,Low,2,Yes,High,2,1,6,No,806.25,765.0,936.0,817.0,707.0,No
6332,Points,Postcard,Medium,1,No,Low,2,1,3,Yes,879.25,1558.0,1057.0,760.0,142.0,No
7746,Points,Letter,High,1,No,Low,1,1,3,Yes,349.25,310.0,213.0,498.0,376.0,No
8229,Cash Back,Postcard,Medium,2,No,High,3,2,5,No,1873.75,1980.0,1725.0,1894.0,1896.0,No
3869,Cash Back,Postcard,High,1,No,Medium,3,1,3,No,979.25,1548.0,1034.0,928.0,407.0,No
1489,Air Miles,Letter,Medium,1,No,Low,1,1,2,Yes,1072.75,1392.0,1576.0,1142.0,181.0,No
3314,Points,Letter,Medium,1,No,Medium,1,2,4,No,884.75,1232.0,832.0,1302.0,173.0,No
7086,Cash Back,Postcard,High,1,No,Medium,3,1,2,Yes,937.5,1530.0,1247.0,568.0,405.0,No
17523,Points,Letter,Medium,1,No,Low,1,2,3,Yes,1138.75,501.0,783.0,1570.0,1701.0,No
148,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,927.25,128.0,917.0,1622.0,1042.0,No
6984,Cash Back,Letter,Medium,2,Yes,Medium,2,2,5,Yes,898.25,942.0,968.0,903.0,780.0,No
17042,Air Miles,Letter,High,1,No,Medium,1,1,4,Yes,115.0,73.0,165.0,39.0,183.0,No
6643,Points,Letter,Low,1,No,Low,3,2,5,Yes,157.5,129.0,192.0,124.0,185.0,No
10693,Points,Postcard,Medium,2,No,Medium,1,1,3,Yes,1456.75,1439.0,1203.0,1604.0,1581.0,No
15952,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,660.0,793.0,601.0,700.0,546.0,No
4079,Cash Back,Letter,Medium,2,No,High,2,1,5,No,1118.0,2020.0,1545.0,681.0,226.0,No
3071,Air Miles,Letter,Low,1,No,Medium,2,1,4,Yes,1049.5,247.0,1029.0,1743.0,1179.0,No
16599,Cash Back,Postcard,Medium,2,No,Low,2,1,2,Yes,825.5,1290.0,881.0,731.0,400.0,No
9800,Cash Back,Letter,Medium,2,No,High,1,1,5,No,162.75,138.0,219.0,4.0,290.0,No
2136,Points,Postcard,Medium,1,No,High,2,2,4,Yes,734.25,719.0,530.0,863.0,825.0,No
15948,Points,Letter,Medium,1,No,High,3,2,3,No,819.5,74.0,873.0,1243.0,1088.0,No
1746,Air Miles,Letter,High,1,No,Medium,1,1,6,Yes,1045.75,731.0,423.0,1667.0,1362.0,No
240,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,874.0,1206.0,493.0,833.0,964.0,No
14021,Points,Postcard,High,1,No,High,3,1,2,No,1239.0,900.0,1240.0,1489.0,1327.0,No
5154,Points,Postcard,Medium,1,Yes,Low,2,2,4,Yes,1062.5,289.0,874.0,2033.0,1054.0,Yes
6865,Points,Postcard,Medium,2,No,Low,2,1,3,No,776.0,630.0,826.0,689.0,959.0,No
6163,Points,Postcard,Medium,1,Yes,Medium,3,1,4,Yes,1055.5,886.0,1217.0,1359.0,760.0,No
5060,Air Miles,Postcard,Low,1,No,Low,2,1,4,Yes,942.0,1938.0,1076.0,544.0,210.0,Yes
14818,Points,Postcard,Low,1,No,Medium,4,1,5,No,1108.25,1741.0,1398.0,1068.0,226.0,No
4426,Cash Back,Postcard,High,1,No,Low,2,2,2,Yes,1002.25,203.0,1406.0,1612.0,788.0,No
9758,Points,Letter,Medium,2,No,Medium,4,1,4,Yes,874.75,759.0,883.0,1394.0,463.0,No
209,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830.0,155.0,842.0,1450.0,873.0,No
12028,Air Miles,Postcard,Low,1,No,Medium,2,2,6,Yes,1188.75,677.0,950.0,1838.0,1290.0,No
12923,Air Miles,Postcard,Medium,2,Yes,Low,2,1,2,No,1434.0,1463.0,1421.0,1951.0,901.0,No
4768,Cash Back,Postcard,High,1,No,Low,1,1,5,No,220.25,303.0,318.0,182.0,78.0,No
14870,Points,Letter,High,1,No,Medium,2,1,4,Yes,1265.5,900.0,1200.0,982.0,1980.0,No
6050,Cash Back,Letter,Low,2,No,Medium,3,1,3,No,1105.25,1760.0,1477.0,862.0,322.0,No
11788,Cash Back,Letter,Medium,1,No,Medium,3,1,4,No,1238.0,869.0,650.0,1799.0,1634.0,No
16247,Air Miles,Letter,Low,1,No,Low,4,1,2,No,1019.0,1026.0,437.0,1174.0,1439.0,No
7320,Air Miles,Postcard,Medium,1,No,Medium,1,1,2,No,1302.5,736.0,1029.0,2083.0,1362.0,No
3411,Points,Postcard,High,1,No,High,2,1,3,No,1269.75,1750.0,1045.0,1355.0,929.0,No
4840,Cash Back,Letter,Low,1,No,Medium,2,1,4,Yes,253.0,322.0,283.0,90.0,317.0,No
12755,Air Miles,Postcard,Low,1,No,High,1,1,3,Yes,974.75,1584.0,1613.0,450.0,252.0,No
5283,Air Miles,Letter,High,1,No,Medium,2,1,4,Yes,926.25,1561.0,1156.0,827.0,161.0,No
16876,Air Miles,Letter,Medium,1,Yes,Low,1,1,4,No,1112.0,1031.0,424.0,2069.0,924.0,No
1942,Air Miles,Postcard,High,1,No,High,1,3,5,Yes,1163.25,1885.0,1500.0,978.0,290.0,No
10351,Air Miles,Postcard,Low,1,No,Low,3,1,3,Yes,1062.25,499.0,1162.0,1664.0,924.0,Yes
11694,Points,Postcard,High,1,Yes,High,1,2,4,Yes,143.75,168.0,131.0,16.0,260.0,No
1319,Points,Letter,High,1,No,Medium,2,1,3,No,896.5,919.0,947.0,857.0,863.0,No
2078,Air Miles,Letter,High,1,No,Low,2,1,4,No,229.5,22.0,429.0,290.0,177.0,No
6045,Points,Letter,High,1,No,High,1,1,3,Yes,673.25,994.0,659.0,538.0,502.0,No
9978,Points,Letter,High,1,No,Medium,2,3,3,Yes,994.75,1993.0,1033.0,494.0,459.0,No
4963,Points,Letter,Low,1,Yes,Low,2,1,5,Yes,1128.5,1881.0,1365.0,822.0,446.0,No
7839,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1309.25,749.0,1731.0,1506.0,1251.0,Yes
16383,Cash Back,Postcard,Low,1,No,Low,3,1,3,No,247.0,479.0,432.0,39.0,38.0,No
12188,Cash Back,Postcard,Medium,1,No,Medium,1,2,4,Yes,862.75,382.0,846.0,1016.0,1207.0,No
7243,Cash Back,Postcard,Medium,3,No,Medium,1,1,4,Yes,203.75,79.0,261.0,292.0,183.0,No
6150,Points,Postcard,High,1,No,High,2,1,4,Yes,1285.0,252.0,1334.0,2117.0,1437.0,No
3409,Cash Back,Letter,Low,1,Yes,High,2,2,3,Yes,1221.0,1330.0,638.0,1474.0,1442.0,No
1539,Points,Letter,Medium,1,No,Low,2,1,4,Yes,951.75,1507.0,1479.0,505.0,316.0,No
15343,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,905.75,1648.0,1374.0,549.0,52.0,No
10012,Cash Back,Postcard,Medium,1,No,High,4,1,3,Yes,749.75,391.0,471.0,806.0,1331.0,No
17074,Points,Postcard,Medium,2,No,Medium,3,1,5,Yes,987.5,1828.0,1019.0,877.0,226.0,No
13433,Air Miles,Letter,Medium,1,No,Low,4,2,2,No,960.25,476.0,1121.0,1017.0,1227.0,No
11455,Air Miles,Letter,Low,1,No,High,3,2,3,No,1043.75,1967.0,1329.0,514.0,365.0,No
14050,Cash Back,Postcard,High,1,Yes,High,1,2,3,No,933.25,517.0,718.0,813.0,1685.0,No
3149,Points,Letter,Low,1,No,Medium,1,1,4,Yes,287.75,319.0,114.0,259.0,459.0,No
10040,Points,Letter,High,1,Yes,Medium,1,1,4,Yes,911.75,1573.0,1355.0,523.0,196.0,No
13366,Air Miles,Letter,Medium,1,No,Low,1,2,5,Yes,1401.25,1223.0,1712.0,1614.0,1056.0,No
